label,gamma,lambda,sup_B_X0,init_slack,init_verdict,inf_B_Xu,unsafe_slack,unsafe_verdict,sup_Lie,lie_verdict,overall
ROBE25_2,0.8539088369331832,0.8539092094328328,0.8539001802446621,-8.656688521124778e-06,OK,0.8539164435220139,-7.234089181129555e-06,OK,5313.895752471782,FAIL,FAIL
ROBE25_3,0.8363172165354783,0.8363213681290635,0.8362449831509354,-7.223338454287465e-05,OK,0.8363773655240363,-5.5997394972751025e-05,OK,1293745.6239597402,FAIL,FAIL
ROBE21_1,0.8254679353894405,0.8254695090464671,0.8254606140847542,-7.321304686280783e-06,OK,0.8254897220231499,-2.0212976682754125e-05,OK,6252.872620281979,FAIL,FAIL
ROBE21_2,0.8240025236179208,0.8240037534531427,0.8240472016149445,4.4677997023678806e-05,OK,0.8240189539677261,-1.5200514583368907e-05,OK,3645.3567686702486,FAIL,FAIL
ROBE21_3,0.8180392778308667,0.8180468369532793,0.8184705156255827,0.00043123779471598844,OK,0.8181272896734311,-8.045272015178018e-05,OK,4165.291760857392,FAIL,FAIL
CVDP23_b2,4.845968771860771,4.845968946382825,4.845967520015416,-1.2518453544885233e-06,OK,4.845966809142355,2.137240469934909e-06,OK,2.082968198593496e-05,OK,PASS
CVDP23_b_unc,4.664611455137177,4.664612155325121,4.664611614202191,1.5906501449336474e-07,OK,4.664609738327903,2.4169972174803434e-06,OK,9.00137760321119e-05,OK,PASS
CVDP22,3.5042691780292303,3.504270721376088,3.5042277260770316,-4.145195219873443e-05,OK,3.5042041566169475,6.656475914068594e-05,OK,0.0003978804556045595,OK,PASS
LOVO25,1.3950415718933948,1.3950417761384946,1.3950415663456253,-5.547769577063377e-09,OK,1.3950437078571594,-1.9317186648049045e-06,OK,5.707333894994286e-07,OK,PASS
LOVO21,9.964833848908738,23.289940067686242,9.03102575879291,-0.9338080901158268,OK,11.06913542589758,12.220804641788662,FAIL,308.58177553395944,FAIL,FAIL
LALO20_W001,19.48322734882429,21.398374244181596,15.375909426260456,-4.107317922563833,OK,38.00277922510765,-16.604404980926056,OK,-6.1086105525702665,OK,PASS
LALO20_W005,19.68271402082568,21.598727602734257,16.08403931146817,-3.5986747093575104,OK,38.1089152983756,-16.510187695641342,OK,-6.085862025848679,OK,PASS
LALO20_W01,19.812762122298107,22.130981636844883,16.37604904998024,-3.4367130723178683,OK,43.552654471961056,-21.421672835116173,OK,-6.016805716401701,OK,PASS
TRAF22,3.3461394114373957,3.346142060991923,3.3462218609877192,8.244955032354895e-05,OK,3.346238564121733,-9.65031298099106e-05,OK,0.0002250667673515398,OK,PASS
SPRE22,2.3541367691168555,34.71278477542544,1328.0680176990493,1325.7138809299324,FAIL,4.574487839273527,30.138296936151914,FAIL,-2.806886235724199,OK,FAIL
